nada,caption,rating,caption_cleaned
4038,"Es una agencia chica, adecuada para hacer transacciones con rapidez, y de poco monto, no recomendable para cobrar cheques grandes. Existe estacionamiento pero casi siempre están ocupados.",4.0,agenci chic adecu hac transaccion rapidez mont recomend cobr chequ grand exist estacion casi siempr ocup
4039,Casi no hay cola :),4.0,casi col
4040,"BBVA Pando, ubicada en el cruce de La Marina y Brigida Silva, es una Oficina de banca empresa, cuenta con zona de atención y servicio al cliente vía telefónica y ademas de cajero para retiro y deposito, cuenta con 2 piso, estacionamiento y accesibilidad, es bastante concurrido por lo cual debes considerar la espera.",5.0,bbva pand ubic cruc marin brig silv oficin banc empres cuent zon atencion servici client via telefon adem cajer retir deposit cuent 2 pis estacion accesibil bastant concurr deb consider esper
4041,"Agencia del banco BBVA Continental ubicada en la avenida La Marina en el distrito de San Miguel. La agencia me parece amplia y creo que es adecuada para la cantidad de personas que acuden a este local. La atención es similar a los demás locales de este banco. Por momentos hay colas para acceder a los cajeros, más aún en días de semana es que he visto alguna así colas. El área de cajeros me parece también la adecuada con la cantidad suficiente de cajeros. Afuera hay estacionamientos pero no son muchos",3.0,agenci banc bbva continental ubic aven marin distrit san miguel agenci parec ampli cre adecu cantid person acud local atencion simil demas local banc moment col acced cajer aun dias seman vist algun asi col are cajer parec adecu cantid suficient cajer afuer estacion
4042,Espectacular,5.0,espectacul
4044,Excelente,5.0,excelent
4045,La atención telefónica es un desastre.,1.0,atencion telefon desastr
4048,"LLAMO Y NUNCA CONTESTAN, LA ATENCION TELEFONICA ES DEPLORABLE!! Y ENCIMA CUANDO RESPONDEN LE PREGUNTO POR LA SRA MARIA VIVANCO QUE ES LA EJECUTIVO DE LA CUENTA Y LA OPERADORA ME DICE QUE SE LLAMA MARTHA TODA AGRESIVA, CUANDO EN MI RECIBO DEL  BBVA DICE MARTHA MARIA VIVANCO!!! PESIMO TRATO, MEJOR ESTABA EN EL BCP!!",1.0,llam nunc contest atencion telefon deplor encim respond pregunt sra mari vivanc ejecut cuent oper dic llam marth tod agres recib bbva dic marth mari vivanc pesim trat mejor bcp
4049,Esta agencia te atienden rapidisimo. Recomendable.,5.0,agenci atiend rapidisim recomend
4050,"Calidades, rapidez... excelente atención",5.0,calidad rapidez excelent atencion
4051,B GB ubicación b CJ Juan .Lily x oninja BH,5.0,b gb ubic b cj juan lily x oninj bh
4052,Patético. Solo una ventanilla. Colocan sillas por que saben que pasaras horas aquí. Tienen una mala política de atención igual que en Interbank. No respetan el orden de llegada.,1.0,patet sol ventanill coloc sill sab pas hor aqu mal polit atencion igual interbank respet orden lleg
4053,Mucha gente pocas ventanillas de atencion !,4.0,much gent poc ventanill atencion
4054,(Traducido por Google) Okay  (Original) Ok,5.0,okay
4055,Muy buena la atención súper amables y rápidos,4.0,buen atencion sup amabl rap
4056,atención rápida,4.0,atencion rap
4058,"Muy mala no deberían jugar con nosotros, me encuentro en esta agencia de Av México antes de Palermo y aún no atienden y segun el horario que figura en su página atienden desde las 9 am.",1.0,mal deb jug encuentr agenci av mexic palerm aun atiend segun horari figur pagin atiend 9 am
4059,Buena atención.,4.0,buen atencion
4060,Tengo media hora esperando que habran el banco para utilizar un cajerooo.. no tienen agentes y en 2 oficinas al rededor los cajeros no funcionan... es esta la nueva imagen del BBVA...? Es broma?,2.0,medi hor esper habr banc utiliz cajeroo agent 2 oficin rededor cajer funcion nuev imag bbva brom
4063,"La oficina está bien ubicada y hay varios cajeros automáticos y ventanillas para el público. La mala experiencia que he tenido es ser atendido por un empleado bastante jóven al que no le dio la gana de crearme una cuenta de ahorros argumentando que no el sistema automatizado no estaba funcionando. Sin embargo en la agencia que está cerca de Wong, una chica con más experiencia y -sobretodo- ganas de trabajar abrió mi cuenta de manera manual. Ella misma me dijo que el proceso era un poco más largo pero que habían algunos empleados al los que ""no les gustaba trabajar"". Señores del BBVA, ojo con estos malos elementos.",2.0,oficin bien ubic vari cajer automat ventanill public mal experient ser atend emple bastant jov dio gan cre cuent ahorr argument sistem automatiz funcion embarg agenci cerc wong chic experient sobretod gan trabaj abri cuent maner manual mism dij proces larg emple gust trabaj señor bbva ojo mal element
4064,Lugar seguro,5.0,lug segur
4065,"Atienden rápido, eso es lo bueno en un banco.",5.0,atiend rap buen banc
4066,No voy para con decir que este banco me ha ofrecido mucho . 2016,4.0,voy dec banc ofrec 2016
4067,Si no eres cliente. Mejor ven con tu periódico y tu lonchera,2.0,si client mejor ven period loncher
4069,Es una agencia bastante completa. La atencion es rapida y agradable. Si bien es cierto no es de gran tamaño. Tratan de atender a los clientes lo mas rapido posible. Ademas posee una gran cantidad se cajeros autonaticos. De modo que es bastante sencillo realizar transacciobes aca.,4.0,agenci bastant complet atencion rap agrad si bien ciert gran tamañ trat atend client mas rap posibl adem pose gran cantid cajer autonat mod bastant sencill realiz transacciob aca
4070,nadie contesta la central de esta agencia (begonias),1.0,nadi contest central agenci begoni
4071,"Agencia del BBVA continental ubicada en la Calle Las Begonias en el distrito de San Isidro. Hay que destacar la gran cantidad de cajeros automáticos que hay, uno al costado del otro, parecen no acabar y conté más de 10. La atención es buena pero es similar a la de los demás BBVA, nada nuevo. Los productos y servicios son los mismos que los de las demás agencias.",3.0,agenci bbva continental ubic call begoni distrit san isidr destac gran cantid cajer automat cost parec acab cont 10 atencion buen simil demas bbva nuev product servici mism demas agenci
4072,"Me resulta muy útil, ya que puedo navegar bien. Aunque me descargue la batería muy rápido..",3.0,result util pued naveg bien aunqu descarg bat rap
4073,Buena atención....   Y también experimentando con este banco haber cómo me va,4.0,buen atencion experiment banc hab com va
4074,(Traducido por Google) OTRO BANCO  (Original) ANOTHER BANK,3.0,banc
4076,Excelente Banco,5.0,excelent banc
4078,Es bueno,5.0,buen
4079,Buena gente y personas amables,4.0,buen gent person amabl
4080,Es uno de los  mejores bancos exelente calidad de personas y la  atencion,5.0,mejor banc exelent calid person atencion
4082,Es geneal,3.0,geneal
4083,Mi Primera opcion en Banca,5.0,primer opcion banc
4084,(Traducido por Google) y  (Original) Si,5.0,
4085,Me atienden muy bien!!!,5.0,atiend bien
4086,Mi Banco de toda la vida,4.0,banc tod vid
4087,La mejor atención que hay,5.0,mejor atencion
4088,Buen banco,5.0,buen banc
4090,Buen banco da bueno oportunidade als personas que necesitan para invertiren sus negocios para creser,5.0,buen banc da buen oportunidad als person necesit invertir negoci cres
4094,La agencia es grande y ordenada,5.0,agenci grand orden
